PA,PB,PlA,PlB,CNA,CNB
Papaver rhoeas,Papaver dubium,2,4,14,28
Ranunculus omiophyllus,Ranunculus tripartitus,4,6,32,48
Ranunculus omiophyllus,Ranunculus peltatus,4,6,32,48
Ranunculus peltatus,Ranunculus aquatilis,4,6,32,48
Ranunculus trichophyllus,Ranunculus aquatilis,4,6,32,48
Ranunculus fluitans,Ranunculus trichophyllus,2,4,16,32
Ranunculus fluitans,Ranunculus aquatilis,4,6,32,48
Ranunculus trichophyllus,Ranunculus circinatus,4,2,32,16
Ranunculus peltatus,Ranunculus fluitans,6,4,48,32
Ulex europaeus,Ulex gallii,6,4,96,
Ulex gallii,Ulex minor,4,2,64,32
Polygala vulgaris,Polygala calcarea,4,2,68,34
Polygala vulgaris,Polygala amarella,4,2,68,34
Prunus spinosa,Prunus cerasifera,4,2,32,16
Prunus spinosa,Prunus domestica,4,6,32,48
Sorbus aucuparia,Sorbus intermedia,2,4,34,68
Sorbus aucuparia,Sorbus minima,2,3,34,51
Sorbus aucuparia,Sorbus leyana,2,3,34,
Sorbus aria,Sorbus eminens,2,4,34,68
Sorbus aria,Sorbus eminentiformis,2,4,34,68
Sorbus aria,Sorbus porrigentiformis,2,4,34,68
Sorbus aria,Sorbus bristoliensis,2,3,34,51
Sorbus porrigentiformis,Sorbus torminalis,4,2,68,34
Sorbus rupicola,Sorbus torminalis,4,2,,34
Crataegus monogyna,Crataegus rhipidophylla,2,4,34,68
Rubus idaeus,Rubus caesius,2,4,14,28
Rubus ulmifolius,Rubus caesius,2,4,14,28
Potentilla erecta,Potentilla anglica,4,8,28,56
Potentilla anglica,Potentilla reptans,8,4,56,28
Agrimonia eupatoria,Agrimonia procera,2,4,28,56
Rosa multiflora,Rosa rubiginosa,2,5,,
Rosa arvensis,Rosa canina,2,5,14,35
Rosa arvensis,Rosa caesia,2,5,14,35
Rosa arvensis,Rosa tomentella,2,5,14,35
Rosa arvensis,Rosa tomentosa,2,5,14,35
Rosa arvensis,Rosa rubiginosa,2,5,14,35
Rosa spinosissima,Rosa canina,4,5,28,35
Rosa spinosissima,Rosa caesia,4,5,28,35
Rosa spinosissima,Rosa tomentosa,4,5,28,35
Rosa spinosissima,Rosa rubiginosa,4,5,28,35
Betula pendula,Betula pubescens,2,4,28,56
Betula pubescens,Betula nana,4,2,56,28
Salix purpurea,Salix cinerea,2,4,38,76
Salix purpurea,Salix aurita,2,4,38,
Salix purpurea,Salix myrsinifolia,2,6,38,114
Salix viminalis,Salix cinerea,2,4,38,76
Salix viminalis,Salix aurita,2,4,38,76
Salix viminalis,Salix myrsinifolia,2,6,38,114
Salix caprea,Salix cinerea,2,4,38,76
Salix caprea,Salix aurita,2,4,38,76
Salix caprea,Salix myrsinifolia,2,6,38,114
Salix cinerea,Salix myrsinifolia,4,6,76,114
Salix cinerea,Salix repens,4,2,76,38
Salix aurita,Salix myrsinifolia,4,6,76,114
Salix aurita,Salix repens,4,2,76,36
Salix aurita,Salix lapponum,4,2,76,38
Salix aurita,Salix herbacea,4,2,76,38
Salix myrsinifolia,Salix repens,6,2,114,38
Salix myrsinifolia,Salix arbuscula,6,2,114,38
Salix myrsinifolia,Salix myrsinites,6,2,114,38
Salix myrsinifolia,Salix herbacea,6,2,114,38
Viola rupestris,Viola riviniana,2,4,20,
Viola riviniana,Viola reichenbachiana,4,2,,20
Viola riviniana,Viola lactea,4,2,,58
Viola reichenbachiana,Viola canina,2,4,20,
Viola canina,Viola lactea,4,2,,58
Geranium ibericum,Geranium platypetalum,4,2,56,28
Geranium robertianum,Geranium purpureum,4,2,64,32
Erodium cicutarium,Erodium aethiopicum,4,2,40,20
Capsella bursa-pastoris,Capsella rubella,4,2,,16
Nasturtium officinale,Nasturtium microphyllum,2,4,32,64
Cardamine flexuosa,Cardamine hirsuta,4,2,32,16
Brassica oleracea,Brassica napus,2,4,18,38
Brassica napus,Brassica rapa,4,2,38,20
Cochlearia officinalis,Cochlearia danica,4,6,24,42
Limonium vulgare,Limonium humile,4,6,36,54
