Species,Genus,Family,Order,Ploidy,Base,Chromosome_number,No_diff_ploidies
Acaena anserinifolia,Acaena,Rosaceae,Rosales,2,21,42,1
Acaena inermis,Acaena,Rosaceae,Rosales,2,21,42,1
Acer campestre,Acer,Sapindaceae,Sapindales,2,13,26,1
Achillea millefolium,Achillea,Asteraceae,Asterales,6,9,54,1
Achillea ptarmica,Achillea,Asteraceae,Asterales,2,9,18,1
Aconitum napellus,Aconitum,Ranunculaceae,Ranunculales,4,8,32,1
Adoxa moschatellina,Adoxa,Adoxaceae,Dipsacales,4,9,36,1
Agrimonia eupatoria,Agrimonia,Rosaceae,Rosales,2,14,28,1
Agrimonia procera,Agrimonia,Rosaceae,Rosales,4,14,56,1
Agrostis capillaris,Agrostis,Poaceae,Poales,4,7,28,1
Agrostis curtisii,Agrostis,Poaceae,Poales,2,7,14,1
Agrostis gigantea,Agrostis,Poaceae,Poales,6,7,42,1
Agrostis rupestris,Agrostis,Poaceae,Poales,2,7,14,1
Agrostis stolonifera,Agrostis,Poaceae,Poales,4,7,28,1
Agrostis vinealis,Agrostis,Poaceae,Poales,"4, 8",7,"28, 56",2
Aira caryophyllea,Aira,Poaceae,Poales,2,7,14,1
Aira praecox,Aira,Poaceae,Poales,2,7,14,1
Ajuga pyramidalis,Ajuga,Lamiaceae,Lamiales,4,8,32,1
Ajuga reptans,Ajuga,Lamiaceae,Lamiales,4,8,32,1
Alchemilla filicaulis,Alchemilla,Rosaceae,Rosales,"13 (-3), 13 (-1), 13, 13 (+1), 13 (+2), 14 (-4), 14 (-3), 19 (-2)",8,"101, 103, 104, 105, 106, 108, 109, 150",3
Alisma lanceolatum,Alisma,Alismataceae,Alismatales,4,7,28,1
Alisma plantago-aquatica,Alisma,Alismataceae,Alismatales,2,7,14,1
Alliaria petiolata,Alliaria,Brassicaceae,Brassicales,4,9,36,1
Allium ampeloprasum,Allium,Amaryllidaceae,Asparagales,"4, 6",8,"32, 48",2
Allium oleraceum,Allium,Amaryllidaceae,Asparagales,5,8,40,1
Allium schoenoprasum,Allium,Amaryllidaceae,Asparagales,2,8,16,1
Allium scorodoprasum,Allium,Amaryllidaceae,Asparagales,2,8,16,1
Allium ursinum,Allium,Amaryllidaceae,Asparagales,2,7,14,1
Allium vineale,Allium,Amaryllidaceae,Asparagales,4,8,32,1
Alnus glutinosa,Alnus,Betulaceae,Fagales,2,14,28,1
Alnus incana,Alnus,Betulaceae,Fagales,2,14,28,1
Alopecurus aequalis,Alopecurus,Poaceae,Poales,2,7,14,1
Alopecurus alpinus,Alopecurus,Poaceae,Poales,"14 (+2), 16, 17 (-2)",7,"100, 112, 117",3
Alopecurus bulbosus,Alopecurus,Poaceae,Poales,2,7,14,1
Alopecurus geniculatus,Alopecurus,Poaceae,Poales,4,7,28,1
Alopecurus myosuroides,Alopecurus,Poaceae,Poales,2,7,14,1
Alopecurus pratensis,Alopecurus,Poaceae,Poales,4,7,28,1
Amaranthus powellii,Amaranthus,Amaranthaceae,Caryophyllales,2,16,32,1
Ammophila arenaria,Ammophila,Poaceae,Poales,4,7,28,1
Anacamptis laxiflora,Anacamptis,Orchidaceae,Asparagales,2,18,36,1
Anacamptis morio,Anacamptis,Orchidaceae,Asparagales,2,18,36,1
Anagallis arvensis,Anagallis,Primulaceae,Ericales,4,10,40,1
Anagallis tenella,Anagallis,Primulaceae,Ericales,2,10,22,1
Anchusa ochroleuca,Anchusa,Boraginaceae,Boraginales,3,8,24,1
Anchusa officinalis,Anchusa,Boraginaceae,Boraginales,2,8,16,1
Anemone nemorosa,Anemone,Ranunculaceae,Ranunculales,4,8,"30, 32",1
Anemone pulsatilla,Anemone,Ranunculaceae,Ranunculales,4,8,32,1
Anthemis arvensis,Anthemis,Asteraceae,Asterales,2,9,18,1
Anthemis cotula,Anthemis,Asteraceae,Asterales,2,9,18,1
Anthoxanthum odoratum,Anthoxanthum,Poaceae,Poales,4,5,20,1
Anthriscus caucalis,Anthriscus,Apiaceae,Apiales,2,8,14,1
Anthriscus sylvestris,Anthriscus,Apiaceae,Apiales,2,8,16,1
Anthyllis vulneraria,Anthyllis,Fabaceae,Fabales,2,6,12,1
Apera interrupta,Apera,Poaceae,Poales,2,7,14,1
Apera spica-venti,Apera,Poaceae,Poales,2,7,14,1
Aphanes arvensis,Aphanes,Rosaceae,Rosales,6,8,48,1
Aphanes australis,Aphanes,Rosaceae,Rosales,2,8,16,1
Apium graveolens,Apium,Apiaceae,Apiales,2,11,22,1
Apium inundatum,Apium,Apiaceae,Apiales,2,11,22,1
Apium nodiflorum,Apium,Apiaceae,Apiales,2,11,"20, 22",1
Apium repens,Apium,Apiaceae,Apiales,2,11,22,1
Aquilegia vulgaris,Aquilegia,Ranunculaceae,Ranunculales,2,7,14,1
Arabidopsis lyrata,Arabidopsis,Brassicaceae,Brassicales,2,8,16,1
Arabis alpina,Arabis,Brassicaceae,Brassicales,2,8,16,1
Arabis hirsuta,Arabis,Brassicaceae,Brassicales,4,8,32,1
Arabis scabra,Arabis,Brassicaceae,Brassicales,2,8,16,1
Arctium lappa,Arctium,Asteraceae,Asterales,2,18,36,1
Arctium minus,Arctium,Asteraceae,Asterales,2,18,36,1
Arctium nemorosum,Arctium,Asteraceae,Asterales,2,18,36,1
Arenaria serpyllifolia,Arenaria,Caryophyllaceae,Caryophyllales,"2, 4, 4 (+4)",10,"20, 40, 44",2
Armeria arenaria,Armeria,Plumbaginaceae,Caryophyllales,2,9,18,1
Armeria maritima,Armeria,Plumbaginaceae,Caryophyllales,2,9,18,1
Arrhenatherum elatius,Arrhenatherum,Poaceae,Poales,4,7,28,1
Artemisia absinthium,Artemisia,Asteraceae,Asterales,2,9,18,1
Artemisia maritima,Artemisia,Asteraceae,Asterales,6,9,54,1
Artemisia norvegica,Artemisia,Asteraceae,Asterales,2,9,18,1
Artemisia verlotiorum,Artemisia,Asteraceae,Asterales,6,9,"50, 52",1
Artemisia vulgaris,Artemisia,Asteraceae,Asterales,2,8,16,1
Arum maculatum,Arum,Araceae,Alismatales,"4, 6",14,"56, 84",2
Asparagus officinalis,Asparagus,Asparagaceae,Asparagales,2,10,20,1
Asperula cynanchica,Asperula,Rubiaceae,Gentianales,4,10,40,1
Aster tripolium,Aster,Asteraceae,Asterales,2,9,18,1
Astilbe japonica,Astilbe,Saxifragaceae,Saxifragales,2,7,14,1
Astilbe rubra,Astilbe,Saxifragaceae,Saxifragales,2,7,14,1
Astragalus danicus,Astragalus,Fabaceae,Fabales,2,8,16,1
Astragalus glycyphyllos,Astragalus,Fabaceae,Fabales,2,8,16,1
Atriplex glabriuscula,Atriplex,Amaranthaceae,Caryophyllales,2,9,18,1
Atriplex laciniata,Atriplex,Amaranthaceae,Caryophyllales,2,9,18,1
Atriplex littoralis,Atriplex,Amaranthaceae,Caryophyllales,2,9,18,1
Atriplex longipes,Atriplex,Amaranthaceae,Caryophyllales,2,9,18,1
Atriplex nudicaulis,Atriplex,Amaranthaceae,Caryophyllales,2,9,18,1
Atriplex patula,Atriplex,Amaranthaceae,Caryophyllales,4,9,36,1
Atriplex portulacoides,Atriplex,Amaranthaceae,Caryophyllales,4,9,36,1
Atriplex prostrata,Atriplex,Amaranthaceae,Caryophyllales,2,9,18,1
Atropa belladonna,Atropa,Solanaceae,Solanales,6,12,72,1
Avena fatua,Avena,Poaceae,Poales,6,7,42,1
Avena sativa,Avena,Poaceae,Poales,6,7,42,1
Bartsia alpina,Bartsia,Orobanchaceae,Lamiales,2,12,24,1
Bellis perennis,Bellis,Asteraceae,Asterales,2,9,"16, 18",1
Bergenia ciliata,Bergenia,Saxifragaceae,Saxifragales,2,17,34,1
Bergenia crassifolia,Bergenia,Saxifragaceae,Saxifragales,2,17,34,1
Beta vulgaris,Beta,Amaranthaceae,Caryophyllales,2,9,18,1
Betula nana,Betula,Betulaceae,Fagales,2,14,28,1
Betula pendula,Betula,Betulaceae,Fagales,2,14,"27, 28",1
Betula pubescens,Betula,Betulaceae,Fagales,4,14,56,1
Blackstonia perfoliata,Blackstonia,Gentianaceae,Gentianales,"10, 11",4,"40, 44",2
Brachypodium distachyon,Brachypodium,Poaceae,Poales,2,7,14,1
Brachypodium pinnatum,Brachypodium,Poaceae,Poales,"2 (+4), 4",7,"18, 28",2
Brassica nigra,Brassica,Brassicaceae,Brassicales,2,8,16,1
Brassica oleracea,Brassica,Brassicaceae,Brassicales,2,9,18,1
Brassica rapa,Brassica,Brassicaceae,Brassicales,2,10,20,1
Briza media,Briza,Poaceae,Poales,2,7,14,1
Briza minor,Briza,Poaceae,Poales,2,5,10,1
Bromus benekenii,Bromus,Poaceae,Poales,4,7,28,1
Bromus commutatus,Bromus,Poaceae,Poales,4,7,28,1
Bromus hordeaceus,Bromus,Poaceae,Poales,4,7,28,1
Bromus interruptus,Bromus,Poaceae,Poales,4,7,28,1
Bromus lepidus,Bromus,Poaceae,Poales,4,7,28,1
Bromus racemosus,Bromus,Poaceae,Poales,4,7,28,1
Bromus ramosus,Bromus,Poaceae,Poales,6,7,42,1
Bromus secalinus,Bromus,Poaceae,Poales,4,7,28,1
Bryonia cretica,Bryonia,Cucurbitaceae,Cucurbitales,2,10,20,1
Bryonia dioica,Bryonia,Cucurbitaceae,Cucurbitales,2,10,20,1
Buddleja davidii,Buddleja,Scrophulariaceae,Lamiales,4,19,76,1
Buddleja globosa,Buddleja,Scrophulariaceae,Lamiales,2,19,38,1
Butomus umbellatus,Butomus,Butomaceae,Alismatales,3,13,39,1
Buxus sempervirens,Buxus,Buxaceae,Buxales,2,14,28,1
Calamagrostis canescens,Calamagrostis,Poaceae,Poales,4,7,28,1
Calamagrostis epigejos,Calamagrostis,Poaceae,Poales,4,7,28,1
Calamagrostis stricta,Calamagrostis,Poaceae,Poales,4,7,28,1
Callitriche brutia,Callitriche,Plantaginaceae,Lamiales,7,4,28,1
Callitriche hermaphroditica,Callitriche,Plantaginaceae,Lamiales,2,3,6,1
Callitriche obtusangula,Callitriche,Plantaginaceae,Lamiales,2,5,10,1
Callitriche platycarpa,Callitriche,Plantaginaceae,Lamiales,4,5,20,1
