Family,No_Ploidies,N_same,N_cross,sum,N_cross_prop,N_same_prop
Sapindaceae,1,0,0,0,0,0
Brassicaceae,8,0,6,6,1,0
Resedaceae,1,0,0,0,0,0
Malvaceae,2,2,0,2,0,1
Cistaceae,1,1,0,1,0,1
Thymelaeaceae,1,1,0,1,0,1
Onagraceae,1,52,0,52,0,1
Lythraceae,-1,0,0,0,0,0
Geraniaceae,2,1,3,4,0.75,0.25
Rosaceae,11,31,27,58,0.46551724137931,0.53448275862069
Rhamnaceae,1,0,0,0,0,0
Elaeagnaceae,1,0,0,0,0,0
Cannabaceae,1,0,0,0,0,0
Urticaceae,2,0,0,0,0,0
Ulmaceae,1,3,0,3,0,1
Betulaceae,2,2,2,4,0.5,0.5
Myricaceae,-1,0,0,0,0,0
Fagaceae,1,2,0,2,0,1
Cucurbitaceae,1,0,0,0,0,0
Fabaceae,5,1,2,3,0.666666666666667,0.333333333333333
Polygalaceae,3,0,2,2,1,0
Celastraceae,2,0,0,0,0,0
Euphorbiaceae,6,1,0,1,0,1
Hypericaceae,2,3,0,3,0,1
Linaceae,1,0,0,0,0,0
Salicaceae,3,27,19,46,0.41304347826087,0.586956521739131
Violaceae,4,2,5,7,0.714285714285714,0.285714285714286
Elatinaceae,-1,0,0,0,0,0
Oxalidaceae,1,0,0,0,0,0
Saxifragaceae,6,5,0,5,0,1
Grossulariaceae,1,0,0,0,0,0
Crassulaceae,2,0,0,0,0,0
Haloragaceae,3,0,0,0,0,0
Asteraceae,8,26,12,38,0.315789473684211,0.68421052631579
Menyanthaceae,-1,0,0,0,0,0
Campanulaceae,5,0,0,0,0,0
Adoxaceae,2,1,0,1,0,1
Caprifoliaceae,2,2,0,2,0,1
Apiaceae,2,3,0,3,0,1
Araliaceae,1,0,0,0,0,0
Aquifoliaceae,1,0,0,0,0,0
Lamiaceae,6,7,9,16,0.5625,0.4375
Orobanchaceae,2,64,13,77,0.168831168831169,0.831168831168831
Lentibulariaceae,1,0,0,0,0,0
Verbenaceae,-1,0,0,0,0,0
Scrophulariaceae,3,16,2,18,0.111111111111111,0.888888888888889
Plantaginaceae,4,5,0,5,0,1
Oleaceae,1,1,0,1,0,1
Solanaceae,2,1,1,2,0.5,0.5
Convolvulaceae,1,3,0,3,0,1
Gentianaceae,5,4,0,4,0,1
Apocynaceae,-1,0,0,0,0,0
Rubiaceae,6,1,0,1,0,1
Boraginaceae,5,1,2,3,0.666666666666667,0.333333333333333
Primulaceae,3,4,0,4,0,1
Ericaceae,4,5,1,6,0.166666666666667,0.833333333333333
Diapensiaceae,-1,0,0,0,0,0
Polemoniaceae,-1,0,0,0,0,0
Balsaminaceae,1,0,0,0,0,0
Cornaceae,1,0,0,0,0,0
Caryophyllaceae,8,6,2,8,0.25,0.75
Molluginaceae,1,0,0,0,0,0
Amaranthaceae,3,6,1,7,0.142857142857143,0.857142857142857
Montiaceae,1,0,0,0,0,0
Plumbaginaceae,4,1,1,2,0.5,0.5
Polygonaceae,7,11,29,40,0.725,0.275
Droseraceae,2,1,1,2,0.5,0.5
Santalaceae,2,0,0,0,0,0
Buxaceae,1,0,0,0,0,0
Ranunculaceae,9,5,8,13,0.615384615384615,0.384615384615385
Papaveraceae,6,1,1,2,0.5,0.5
Ceratophyllaceae,-1,0,0,0,0,0
Poaceae,17,17,19,36,0.527777777777778,0.472222222222222
Cyperaceae,4,0,0,0,0,0
Juncaceae,7,2,5,7,0.714285714285714,0.285714285714286
Eriocaulaceae,1,0,0,0,0,0
Typhaceae,1,1,0,1,0,1
Amaryllidaceae,4,1,0,1,0,1
Asparagaceae,4,0,0,0,0,0
Iridaceae,5,0,1,1,1,0
Orchidaceae,2,30,19,49,0.387755102040816,0.612244897959184
Colchicaceae,-1,0,0,0,0,0
Melanthiaceae,1,0,0,0,0,0
Liliaceae,3,0,0,0,0,0
Nartheciaceae,1,0,0,0,0,0
Dioscoreaceae,-1,0,0,0,0,0
Alismataceae,2,0,1,1,1,0
Hydrocharitaceae,1,0,0,0,0,0
Butomaceae,1,0,0,0,0,0
Potamogetonaceae,3,20,6,26,0.230769230769231,0.769230769230769
Zosteraceae,1,0,0,0,0,0
Ruppiaceae,2,0,0,0,0,0
Juncaginaceae,2,0,0,0,0,0
Scheuchzeriaceae,1,0,0,0,0,0
Tofieldiaceae,1,0,0,0,0,0
Araceae,3,0,1,1,1,0
Nymphaeaceae,2,1,0,1,0,1
Pinaceae,-1,0,0,0,0,0
Cupressaceae,-1,0,0,0,0,0
Taxaceae,-1,0,0,0,0,0
