Family,P-value from Chi-Square test,No_Ploidies,N_same,N_cross,sum
Sapindaceae,,1,0,0,0
Brassicaceae,0.110828116862791,8,0,6,6
Resedaceae,,1,0,0,0
Malvaceae,,2,2,0,2
Cistaceae,,1,1,0,1
Thymelaeaceae,,1,1,0,1
Onagraceae,,1,52,0,52
Lythraceae,,-1,0,0,0
Geraniaceae,0.134595494582389,2,1,3,4
Rosaceae,0.000431267695380162,11,31,27,58
Rhamnaceae,,1,0,0,0
Elaeagnaceae,,1,0,0,0
Cannabaceae,,1,0,0,0
Urticaceae,,2,0,0,0
Ulmaceae,,1,3,0,3
Betulaceae,0.683091398309609,2,2,2,4
Myricaceae,,-1,0,0,0
Fagaceae,,1,2,0,2
Cucurbitaceae,,1,0,0,0
Fabaceae,0.271153662026383,5,1,2,3
Polygalaceae,0.317310507862914,3,0,2,2
Celastraceae,,2,0,0,0
Euphorbiaceae,0.193930852282411,6,1,0,1
Hypericaceae,0.0832645166635506,2,3,0,3
Linaceae,,1,0,0,0
Salicaceae,0.158848716531225,3,27,19,46
Violaceae,0.868334229511197,4,2,5,7
Elatinaceae,,-1,0,0,0
Oxalidaceae,,1,0,0,0
Saxifragaceae,0.000130841170719301,6,5,0,5
Grossulariaceae,,1,0,0,0
Crassulaceae,,2,0,0,0
Haloragaceae,,3,0,0,0
Asteraceae,0.0132503046835023,8,26,12,38
Menyanthaceae,,-1,0,0,0
Campanulaceae,,5,0,0,0
Adoxaceae,,2,1,0,1
Caprifoliaceae,,2,2,0,2
Apiaceae,0.659979589866018,2,3,0,3
Araliaceae,,1,0,0,0
Aquifoliaceae,,1,0,0,0
Lamiaceae,0.119563558824374,6,7,9,16
Orobanchaceae,0.00687399760409564,2,64,13,77
Lentibulariaceae,,1,0,0,0
Verbenaceae,,-1,0,0,0
Scrophulariaceae,0.000329838520777994,3,16,2,18
Plantaginaceae,0.0144514334606069,4,5,0,5
Oleaceae,,1,1,0,1
Solanaceae,0.897278961260083,2,1,1,2
Convolvulaceae,,1,3,0,3
Gentianaceae,0.0143058784354296,5,4,0,4
Apocynaceae,,-1,0,0,0
Rubiaceae,0.103085753579562,6,1,0,1
Boraginaceae,0.388885411807765,5,1,2,3
Primulaceae,0.121335250358483,3,4,0,4
Ericaceae,0.867632334778193,4,5,1,6
Diapensiaceae,,-1,0,0,0
Polemoniaceae,,-1,0,0,0
Balsaminaceae,,1,0,0,0
Cornaceae,,1,0,0,0
Caryophyllaceae,0.558072151882131,8,6,2,8
Molluginaceae,,1,0,0,0
Amaranthaceae,0.0279918154856657,3,6,1,7
Montiaceae,,1,0,0,0
Plumbaginaceae,0.933586496294755,4,1,1,2
Polygonaceae,0.346029794889811,7,11,29,40
Droseraceae,0.617075077451974,2,1,1,2
Santalaceae,,2,0,0,0
Buxaceae,,1,0,0,0
Ranunculaceae,0.64854874432943,9,5,8,13
Papaveraceae,0.482899697780192,6,1,1,2
Ceratophyllaceae,,-1,0,0,0
Poaceae,2.24680020566292e-05,17,17,19,36
Cyperaceae,,4,0,0,0
Juncaceae,0.962971193716192,7,2,5,7
Eriocaulaceae,,1,0,0,0
Typhaceae,,1,1,0,1
Amaryllidaceae,0.133614402537715,4,1,0,1
Asparagaceae,,4,0,0,0
Iridaceae,,5,0,1,1
Orchidaceae,0.419020333534316,2,30,19,49
Colchicaceae,,-1,0,0,0
Melanthiaceae,,1,0,0,0
Liliaceae,,3,0,0,0
Nartheciaceae,,1,0,0,0
Dioscoreaceae,,-1,0,0,0
Alismataceae,,2,0,1,1
Hydrocharitaceae,,1,0,0,0
Butomaceae,,1,0,0,0
Potamogetonaceae,0.00297672754649397,3,20,6,26
Zosteraceae,,1,0,0,0
Ruppiaceae,,2,0,0,0
Juncaginaceae,,2,0,0,0
Scheuchzeriaceae,,1,0,0,0
Tofieldiaceae,,1,0,0,0
Araceae,0.317310507862914,3,0,1,1
Nymphaeaceae,,2,1,0,1
Pinaceae,,-1,0,0,0
Cupressaceae,,-1,0,0,0
Taxaceae,,-1,0,0,0
