,Alien taxon involved?,Wild formed,Hybrid Ploidy,Hybrid Chromosome number,Parent A,Parent B,Ploidy A,Chromosome number A,Ploidy B,Chromosome Number B,Within/Between Species,Is hybrid a species?,Within/Between ploidy level,Notes?,Hybrid Name,Aneuploidy,"Unless otherwise stated, ploidy estimates are from either the book, or The Kew database",Hybrid species name,Hybrid species nature
1,No,NA,Diploid,34,Nuphar lutea,Nuphar pumila,2,34,2,34,Between,No,Within,http://www.sciencedirect.com/science/article/pii/S0304377007001350,,NA,NA,,
2,,NA,Triploid,28,Papaver rhoeas,Papaver dubium,2,14,4,28,Between,No,Between,,Papaver x hungaricum,NA,NA,,
4,,NA,Hexaploid,48?,Fumaria bastardii,Fumaria muralis,6,48,6,48,Between,No,Within,"Fumaria, assuming that base n=8, which it may not beÄ check with Alex",,NA,NA,,
5,,NA,,,Fumaria parviflora,Fumaria officinalis,Unknown,32,Multiple,"32, 48",Between,No,Within or Between,,,NA,NA,,
6,,NA,Tetraploid,32,Ranunculus flammula,Ranunculus reptans,4,32,4,"32, 48",Between,No,Within,,,NA,NA,,
7,,NA,Pentaploid,40,Ranunculus omiophyllus,Ranunculus tripartitus,4,32,6,48,Between,No,Between,,Ranunculus novae-forestae,NA,NA,,
8,,NA,Hexaploid,48,Ranunculus omiophyllus,Ranunculus peltatus,4,32,6,48,Between,Maybe,Between,Potentially an amphidiploid (technically amphitriploid). Though unconfirmed. Variation in ploidy of both parentsÄ,,NA,NA,,
9,,NA,Hexaploid,48,Ranunculus tripartitus,Ranunculus aquatilis,6,48,6,48,Between,No,Within,"Two other hybrids, tripartitus (2n=48) x baudotii (2n=32) and tripartitus (2n=48) x peltatus (2n=48) are ascribed to the hybrid on this row",,NA,NA,,
10,,NA,Tetraploid,32,Ranunculus peltatus,Ranunculus trichophyllus,4,32,4,32,Between,No,Within,,,NA,NA,,
11,,NA,Pentaploid,40,Ranunculus peltatus,Ranunculus aquatilis,4,32,6,48,Between,No,Between,,,NA,NA,,
12,,NA,Tetraploid,32,Ranunculus peltatus,Ranunculus peltatus,4,32,6,48,Between,No,Between,,,NA,NA,,
13,,NA,Pentaploid,40,Ranunculus trichophyllus,Ranunculus aquatilis,4,32,6,48,Between,No,Between,,,NA,NA,,
15,,NA,Triploid,24,Ranunculus fluitans,Ranunculus trichophyllus,2,16,4,32,Between,No,Between,,,NA,NA,,
16,,NA,Pentaploid,40,Ranunculus fluitans,Ranunculus aquatilis,4,32,6,48,Between,No,Between,,,NA,NA,,
17,,NA,,,Ranunculus trichophyllus,Ranunculus circinatus,4,32,2,16,Between,No,Between,,,NA,NA,,
18,,NA,Hexaploid,48,Ranunculus aquatilis,Ranunculus peltatus,6,48,6,48,Between,No,Within,,,NA,NA,,
19,,NA,Pentaploid,40,Ranunculus peltatus,Ranunculus fluitans,6,48,4,32,Between,No,Between,,,NA,NA,,
20,,NA,,,Ranunculus fluitans,Ranunculus circinatus,2,16,2,16,Between,No,Within,circiniatus can also occur as a tetraploid.,,NA,NA,,
21,,NA,Diploid,42,Platanus occidentalis,Platanus orientalis,2,42,2,42,Between,No,Within,,,NA,NA,,
22,,NA,Diploid,14,Astilbe japonica,Astilbe rubra,2,14,2,14,Between,No,Within,https://theses.lib.vt.edu/theses/available/etd-06282006-151157/unrestricted/LastTraderDissertation.pdf,,NA,NA,,
23,,NA,Diploid,34,Bergenia crassifolia,Bergenia crassifolia,2,34,2,34,Between,No,Within,https://www.hindawi.com/journals/jb/2013/248943/,,NA,NA,,
24,,NA,Diploid,34,Bergenia crassifolia,Bergenia ciliata,2,34,2,34,Between,No,Within,as above,,NA,NA,,
25,,NA,Tetraploid,28,Saxifraga umbrosa,Saxifraga spathularis,4,28,4,28,Between,No,Within,http://onlinelibrary.wiley.com/store/10.1111/j.1601-5223.1940.tb03246.x/asset/j.1601-5223.1940.tb03246.x.pdf?v=1&t=j0v4q0nh&s=f867fb06f58ec675936efc3e46a7189b35b15ecb base number n=7?,,NA,NA,,
26,,NA,Tetraploid,28,Saxifraga umbrosa,Saxifraga hirsuta,4,28,4,28,Between,No,Within,as above,,NA,NA,,
27,,NA,Tetraploid,28,Saxifraga spathularis,Saxifraga hirsuta,4,28,4,28,Between,No,Within,as above,,NA,NA,,
28,,NA,,,Saxifraga hypnoides,Saxifraga rosacea,Multiple,"26, 48, 52, 64",Multiple,"48, 52, 64",Between,No,Within or Between,?,,NA,NA,,
29,,NA,,,Saxifraga hypnoides,Saxifraga tridactylites,Multiple,"26, 48, 52, 64",Unknown,22,Between,No,Within or Between,?,,NA,NA,,
30,,NA,,,Hylotelephium spectabile,Hylotelephium telephium,Multiple,"50, 51",Multiple,"24, 26",Between,No,,Need to find ploidy estimates,,NA,NA,,
31,,NA,,,Parthenocissus quinquefolia,Parthenocissus inserta,Unknown,40 (russian book),Unknown,40 (russian book),Between,No,,No ploidy estimates,,NA,NA,,
32,,NA,Triploid,45,Ononis spinosa,Ononis spinosa,4,60,2,30,Between,No,,,Ononis x pseudohircinia,1,NA,,
33,,NA,,,Lupinus arboreus,Lupinus polyphyllus,Multiple,"40, 48",Unknown,48,Between,No,Within,"no ploidy info; excluded triple hybrid, which is this hybrid x nootkatensis",,NA,NA,,
34,,NA,,,Lupinus polyphyllus,Lupinus nootkatensis,Unknown,48,Unknown,48,Between,No,Within,,,NA,NA,,
35,,NA,Tetraploid,48,Laburnum anagyroides,Laburnum alpinum,4,48,4,48,Between,No,Within,,,NA,NA,,
36,,NA,Pentaploid,80,Ulex europaeus,Ulex gallii,6,96,4,"64, 96",Between,No,Within or Between,,,NA,NA,,
37,,NA,Triploid,48,Ulex gallii,Ulex minor,4,64,2,32,Between,No,,,,NA,NA,,
38,,NA,Triploid,51,Polygala vulgaris,Polygala calcarea,4,68,2,34,Between,?,,"Introgression from P.calcarea into P.vulgaris, unreduced gametes of calcarea?",,NA,NA,,
39,,NA,Triploid,51,Polygala vulgaris,Polygala amarella,4,68,2,34,Between,No,,,,NA,NA,,
40,,NA,Tetraploid,36,Spiraea salicifolia,Spiraea alba,4,36,4,36,Between,No,Within,https://link.springer.com/article/10.1007/BF03030463,,NA,NA,,
41,,NA,Tetraploid,36,Spiraea salicifolia,Spiraea douglasii,4,36,4,36,Between,No,Within,,,NA,NA,,
42,,NA,Pentaploid,54,Spiraea alba,Spiraea douglasii,4,36,4,36,Between,No,Within,Pentaploid or slightly less (n=45),,NA,NA,,
43,,NA,,,Spiraea douglasii,Spiraea canescens,4,36,2 or 4,"18, 36",Between,No,Within or Between,,,NA,NA,,
44,,NA,Triploid,24,Prunus spinosa,Prunus cerasifera,4,32,2,16,Between,Yes,,Triploid hybrid supposed to have produced Prunus domestica by chromosome doubling?,,NA,NA,,
45,,NA,Pentaploid,40,Prunus spinosa,Prunus domestica,4,32,6,48,Between,No,,"Prunus domestica x insititia , the latter species and this hybrid are now considered subsp of domestica",,NA,NA,,
46,,NA,Diploid,34,Chaenomeles speciosa,Chaenomeles japonica,2,34,2,34,Between,No,Within,https://www.hort.purdue.edu/newcrop/ncnu02/pdf/rumpunen.pdf,,NA,NA,,
48,,NA,Diploid,34?,Malus sylvestris,Malus pumila,2,34,2,34,Between,No,Within,"http://www.nature.com/ng/journal/v42/n10/full/ng.654.html Reason to believe that n=17 is consistent throughout the pyreae, and the apples are diploid. This hybrid not yet found in UK",,NA,NA,,
49,,NA,Triploid,51,Sorbus aucuparia,Sorbus intermedia,2,34,4,68,Between,No,,,,NA,NA,,
50,,NA,Tetraploid,Flow cytometry,Sorbus aucuparia,Sorbus minima,2,34,3,51,Between,No,,,,NA,NA,,
51,,NA,Tetraploid,Flow cytometry,Sorbus aucuparia,Sorbus leyana,2,34,3,Flow cytometry,Between,No,,,,NA,NA,,
52,,NA,Diploid,Flow cytometry,Sorbus aucuparia,Sorbus aria,2,34,2,34,Between,No,Within,,,NA,NA,,
53,,NA,,,Sorbus aucuparia,Sorbus scalaris,2,34,2,34,Between,No,Within,,,NA,NA,,
54,,NA,Triploid,Flow cytometry,Sorbus aria,Sorbus eminens,2,34,4,68,Between,No,,,,NA,NA,,
55,,NA,Triploid,Flow cytometry,Sorbus aria,Sorbus eminentiformis,2,34,4,68,Between,No,,,,NA,NA,,
56,,NA,Triploid,Flow cytometry,Sorbus aria,Sorbus porrigentiformis,2,34,4,68,Between,No,,,,NA,NA,,
57,,NA,Tetraploid,Nuclear satellite data,Sorbus aria,Sorbus bristoliensis,2,34,3,51,Between,No,,,,NA,NA,,
58,,NA,Diploid,34,Sorbus aria,Sorbus torminalis,2,34,2,34,Between,No,Within,,,NA,NA,,
59,,NA,Triploid,Flow cytometry,Sorbus porrigentiformis,Sorbus torminalis,4,68,2,34,Between,No,,,,NA,NA,,
60,,NA,,,Sorbus rupicola,Sorbus torminalis,4,68 (Russian book Liljefors 1934),2,34,Between,No,?,,,NA,NA,,
62,,NA,Diploid,34,Cotoneaster frigidus,Cotoneaster salicifolius,2,34,2,34,Between,No,Within,,,NA,NA,,
63,,NA,Diploid,34,Cotoneaster salicifolius,Cotoneaster dammeri,2,34,2,34,Between,No,Within,,,NA,NA,,
